StoreName,StoreNumber,EffDate,City,Zip,State
Tacoma (Headquarters),1,1/1/2018 0:00,Washington,20012,DC
SK,2,6/1/2019 0:00,Arlington,22203,VA
Ballston,3,6/1/2019 0:00,Arlington,22203,VA
Gaithersburg,4,1/1/2000 0:00,Gaithersburg,20878,MD
14th Street,5,1/1/2000 0:00,Washington,20009,DC
Merrifield,6,1/1/2000 0:00,Fairfax,22031,VA
Reston,7,1/1/2000 0:00,Reston,20190,VA
Capitol Hill,8,1/1/2000 0:00,Washington,20003,DC
Cafe,9,1/1/1976 0:00,Washington,20036,DC
Bookstore,10,1/1/1976 0:00,Washington,20036,DC
FP,11,1/1/2017 0:00,Washington,20009,DC
